id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001117,system,情報を教える,観光地の名称 観光地のレビュー,ダイヤと花の大観覧車 目の前がすぐに海が広がり、晴れた日はかなり綺麗な景色を眺めながらソフトクリームを食べたり、2階のレストランで食事が出来たりいい道の駅です。お土産も結構色々品揃えが豊富でした。,ダイヤと花の大観覧車ならレビューは目の前がすぐに海が広がり、晴れた日はかなり綺麗な景色を眺めながらソフトクリームを食べたり、2階のレストランで食事が出来たりいい道の駅です。お土産も結構色々品揃えが豊富でした。となっております。,目の前がすぐに海が広がり、晴れた日はかなり綺麗な景色を眺めながらソフトクリームを食べたり、2階のレストランで食事が出来たりいい道の駅です。お土産も結構色々品揃えが豊富でした。というレビューで評判が良さそうなのがダイヤと花の大観覧車です。
s00001436,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,藤枝市郷土博物館・文学館 60分以上90分未満 秋,藤枝市郷土博物館・文学館でしたら所要時間も60分以上90分未満で周れて秋の時期がおすすめです。,所要時間が60分以上90分未満で秋におすすめなのが藤枝市郷土博物館・文学館です。
s00000552,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,朝 バス,希望の観光時間帯は朝で希望する交通手段はバスですね。,希望の交通手段はバスで希望する観光時間帯は朝ですね。
s00001747,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地のWi-Fiの有無,東郷公園の紅葉 不明 なし,東郷公園の紅葉は手荷物預かりがあるかは不明です。またここにはWi-Fiはないです。,東郷公園の紅葉はWi-Fiはないですし、手荷物預かりがあるかも分からないです。
s00002570,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の駐車場の料金,稲佐山公園 障害者への対応あり 7月下旬～8月末は有料、隣接する駐車場を利用,稲佐山公園なら障害者への対応ありで駐車場の料金は7月下旬～8月末は有料、隣接する駐車場を利用するのがおすすめです。,稲佐山公園は7月下旬～8月末は駐車場の料金障害者への対応ありです。
s00002074,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のすいている曜日，時間帯,国営讃岐まんのう公園 不明 不明,国営讃岐まんのう公園はインドアかアウトドアか分かりません。またすいている曜日、時間帯も分かりません。,国営讃岐まんのう公園はすいている曜日も時間帯も分かりませんし、インドアかアウトドアも分かりません。
s00001347,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,伊根の舟屋 不明 友達,伊根の舟屋に駐車場がわるか分かりません。ここはお友達と一緒に行くのがおすすめです。,お友達と行くのがおすすめなのが伊根の舟屋ですが、駐車場があるかは分からないです。
s00001833,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,盛岡市遺跡の学び館 あり 可能,盛岡市遺跡の学び館は手荷物預かりがあります。またここは撮影が可能となっています。,手荷物預かりがあって撮影が可能なのは盛岡市遺跡の学び館になります。
s00001370,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな時期,筑波山 あり 秋,筑波山は駐車場があっておすすめの時期は秋です。,秋におすすめなのは筑波山でここには駐車場があります。
s00001509,system,情報を教える,観光地の名称 観光地のお土産 観光地の設備,愛・地球博記念公園 アイススケート場 伝統工芸品 乳幼児への対応あり,愛・地球博記念公園 アイススケート場には乳幼児対応が可能が設備があってお土産で伝統工芸品が売られてます。,乳幼児の対応が可能な設備があって伝統工芸品のお土産もあるのが愛・地球博記念公園 アイススケート場です。
