id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002508,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,高瀬地区の紅花 恋人 可能,高瀬地区の紅花へは，恋人同士で行かれることをおすすめします．こちらは観光地が雨でもお楽しみいただけます．,恋人同士であれば高瀬地区の紅花がおすすめです．こちらは雨天でも楽しむことが可能です．
s00002028,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の予約要否,鹿山公園 アウトドア 可能,アウトドアであれば，鹿山公園がございます．こちら予約が可能となっております．,鹿山公園はアウトドアな観光地になっており，予約可能となっています．
s00000172,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,ペット バス,バスをご利用でペットとご一緒ですね，承知いたしました．,ペットとご一緒にバスをご利用ですね，大丈夫ですよ，承知いたしました．
s00001716,system,情報を教える,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,平和祈念展示資料館 障害者への対応あり 入場時のアルコール消毒とマスクの着用,平和祈念展示資料館は，障害者の方への対応がございます．入場時にはアルコール消毒とマスクの着用が義務付けられています．,平和祈念展示資料館は，新型コロナウイルス感染対策のため入場時のアルコール消毒とマスクの着用が必要になります．また障害者の方への対応もございます
s00001455,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,御勅使南公園 子供 夏,御勅使南公園は，夏に行かれることがおすすめです．またお子様にお楽しみいただけます．,御勅使南公園は夏場のお子様におすすめです．
s00001206,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな人,千葉市立郷土博物館 7～17時 恋人,千葉市立郷土博物館は7～17時まで営業しており，主に恋人同士で行かれる方が多いです．,千葉市立郷土博物館は恋人同士でのご利用がおすすめです．営業時間は7～17時となっております．
s00002188,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地におすすめな時期,松本 国営滝野すずらん丘陵公園 秋,松本様，国営滝野すずらん丘陵公園へは秋に行かれるのがおすすめです．,松本様へは，秋の国営滝野すずらん丘陵公園がおすすめです．
s00002166,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の説明,山田 南光ひまわり畑 正面に6本のドリス式半円柱を配した新古典主義様式の建物は、かつての横浜正金銀行。エントランス部分の天井の高さがレトロビルの風格を感じさせる。常設展示は古代から現代までの歴史を紹介する「神戸の歴史展示」、分野・期間ごとにテーマを設定して館蔵品を紹介する「コレクション展示」の2つから構成される。年に3～4回特別展を開催し話題を集めている。所要1時間30分。,山田様におすすめなのは，南光ひまわり畑です．正面に6本のドリス式半円柱を配した新古典主義様式の建物は，かつての横浜正金銀行．エントランス部分の天井の高さがレトロビルの風格を感じさせます．常設展示は古代から現代までの歴史を紹介する「神戸の歴史展示」，分野・期間ごとにテーマを設定して館蔵品を紹介する「コレクション展示」の2つから構成されています．年に3～4回特別展を開催し話題を集めております．所要時間は1時間30分ほどとなっています．,南光ひまわり畑という観光地がございます．正面に6本のドリス式半円柱を配した新古典主義様式の建物は，かつての横浜正金銀行．エントランス部分の天井の高さがレトロビルの風格を感じさせます．常設展示は古代から現代までの歴史を紹介する「神戸の歴史展示」，分野・期間ごとにテーマを設定して館蔵品を紹介する「コレクション展示」の2つから構成されています．年に3～4回特別展を開催し話題を集めております．所要時間は1時間30分ほどとなっています．山田様におすすめです．
s00000223,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,子供 冬,同行者がお子様で，季節は冬ですね，承知いたしました．,冬にお子様と観光，素敵ですね，承知いたしました．
s00000196,system,好意的に承知する,客の観光の同行者 客が希望する食べ物,家族 メキシコ料理,ご家族でメキシコ料理をご希望ですね，承知いたしました．,メキシコ料理をご家族でご希望ですね，承知いたしました．
